test_year,model_name,bin,count,mean_predicted_probability,observed_positive_rate,min_predicted_probability,max_predicted_probability,calibration_gap
2020,random_forest,1,3444,0.0006598862133503563,0.0008710801393728223,0.0,0.0033333333333333335,-0.000211193926022466
2020,random_forest,2,637,0.007988721096314162,0.0031397174254317113,0.004327076967845191,0.01,0.004849003670882451
2020,random_forest,3,492,0.016071056066414992,0.0020325203252032522,0.011603167865901313,0.02,0.014038535741211739
2020,random_forest,4,673,0.033125167227416936,0.004457652303120356,0.021628284286322044,0.05,0.028667514924296582
2020,random_forest,5,628,0.08331538831508974,0.0015923566878980893,0.05115847446587702,0.12666666666666668,0.08172303162719165
2020,random_forest,6,650,0.34344702050646536,0.004615384615384616,0.1273151061717438,1.0,0.33883163589108073
