test_year,model_name,bin,count,mean_predicted_probability,observed_positive_rate,min_predicted_probability,max_predicted_probability,calibration_gap
2015,hist_gradient_boosting,1,428,3.0175166750872177e-07,0.009345794392523364,5.897070562602515e-09,7.778701685343312e-07,-0.009345492640855855
2015,hist_gradient_boosting,2,427,1.7968441294301106e-06,0.00936768149882904,7.892299692253696e-07,3.4428272424751315e-06,-0.00936588465469961
2015,hist_gradient_boosting,3,427,7.320194443200724e-06,0.00468384074941452,3.461937346566966e-06,1.30371959330961e-05,-0.004676520554971319
2015,hist_gradient_boosting,4,428,2.4385728605829266e-05,0.011682242990654205,1.3128005066920904e-05,4.264041835947205e-05,-0.011657857262048377
2015,hist_gradient_boosting,5,429,7.74426789630092e-05,0.004662004662004662,4.419619830994982e-05,0.00013435166856841,-0.0045845619830416524
2015,hist_gradient_boosting,6,425,0.00026191393471126787,0.018823529411764704,0.00013448259878637883,0.0004855123963849923,-0.018561615477053435
2015,hist_gradient_boosting,7,427,0.0011020934126543334,0.00702576112412178,0.0004912729971970487,0.002076912095435201,-0.005923667711467446
2015,hist_gradient_boosting,8,428,0.004387809442503636,0.004672897196261682,0.0020773182011999676,0.00935923807525022,-0.00028508775375804627
2015,hist_gradient_boosting,9,426,0.04351401216879749,0.007042253521126761,0.009480033833386218,0.14734111995264135,0.03647175864767073
2015,hist_gradient_boosting,10,428,0.5987647562437125,0.02336448598130841,0.14780318279148105,0.9988018969118112,0.5754002702624041
