train_period,test_year,model_name,sample_count,positive_count,observed_positive_rate,mean_predicted_probability,probability_prevalence_gap,brier_score,expected_calibration_error,minimum_predicted_probability,maximum_predicted_probability
2010,2015,logistic_regression,4273,43,0.010063187456119822,0.4544204972173668,0.444357309761247,0.24217073814221038,0.44435730976124704,0.05374540731990548,0.9994903862625582
2010,2015,random_forest,4273,43,0.010063187456119822,0.09947742951860779,0.08941424206248796,0.04775613880679529,0.09321739098547874,0.0,1.0
2010,2015,hist_gradient_boosting,4273,43,0.010063187456119822,0.0648995686247055,0.05483638116858568,0.050925036107827566,0.06770435595110387,5.897070562602515e-09,0.9988018969118112
2010_2015,2020,logistic_regression,6524,13,0.001992642550582465,0.43985284072511094,0.4378601981745285,0.2164843712214625,0.4378601981745285,0.02678146920249773,0.9986855011820283
2010_2015,2020,random_forest,6524,13,0.001992642550582465,0.047995752265011855,0.04600310971442939,0.018431302928604947,0.04622608699254753,0.0,1.0
2010_2015,2020,hist_gradient_boosting,6524,13,0.001992642550582465,0.033755203200090685,0.03176256064950822,0.016591736895654567,0.03415962272580231,4.172256499061515e-08,0.9818805550427855
