test_year,model_name,bin,count,mean_predicted_probability,observed_positive_rate,min_predicted_probability,max_predicted_probability,calibration_gap
2015,logistic_regression,1,431,0.19663283642277474,0.002320185614849188,0.05374540731990548,0.23201250710418858,0.19431265080792554
2015,logistic_regression,2,425,0.25926640674700246,0.002352941176470588,0.23347358906714014,0.28011059201855376,0.25691346557053185
2015,logistic_regression,3,426,0.3024890745589296,0.004694835680751174,0.2804917977469813,0.3233691425056251,0.2977942388781784
2015,logistic_regression,4,427,0.3470674738825739,0.00702576112412178,0.32345395573301733,0.37192147373060064,0.34004171275845213
2015,logistic_regression,5,431,0.39853085743396294,0.0069605568445475635,0.3721324536117389,0.42311164245034466,0.3915703005894154
2015,logistic_regression,6,424,0.443539030479101,0.0047169811320754715,0.42313375491889493,0.4638687058285462,0.4388220493470255
2015,logistic_regression,7,427,0.4946452366563853,0.00468384074941452,0.464304056120108,0.5250274841180202,0.4899613959069708
2015,logistic_regression,8,430,0.5644084062094706,0.020930232558139535,0.5254121365502608,0.6113143970398045,0.5434781736513311
2015,logistic_regression,9,424,0.6758712386218134,0.01650943396226415,0.6116589607027889,0.7467760522932496,0.6593618046595493
2015,logistic_regression,10,428,0.8631723545770535,0.030373831775700934,0.7470288218709665,0.9994903862625582,0.8327985228013526
