model_name,backtest_count,mean_pr_auc,min_pr_auc,mean_roc_auc,min_roc_auc,mean_precision,mean_recall,mean_f1,mean_brier_score,mean_ece,mean_absolute_prevalence_gap,pr_auc_change,roc_auc_change,mean_precision_at_10,max_precision_at_10,mean_precision_at_50,max_precision_at_50,mean_precision_at_100,max_precision_at_100
hist_gradient_boosting,2,0.0123,0.004,0.52025,0.4798,0.0144,0.09659999999999999,0.025,0.033758386501741,0.050931989338453054,0.0432994709090469,-0.0166,-0.08089999999999997,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,2,0.0188,0.0069,0.68405,0.6443,0.01245,0.5796,0.0242,0.2293275546818364,0.44110875396788773,0.44110875396788773,-0.0238,-0.07950000000000002,0.0,0.0,0.03,0.06,0.04,0.06
random_forest,2,0.0102,0.0039,0.6335,0.6259,0.01045,0.05815,0.01775,0.03309372086770005,0.0697217389890131,0.0677086758884586,-0.0126,0.015199999999999991,0.0,0.0,0.0,0.0,0.0,0.0
