test_year,model_name,pr_auc,roc_auc,precision,recall,f1,precision_at_10,precision_at_50,precision_at_100,brier_score,expected_calibration_error,observed_positive_rate,mean_predicted_probability,probability_prevalence_gap,absolute_prevalence_gap
2015,hist_gradient_boosting,0.0206,0.5607,0.0196,0.1163,0.0336,0.0,0.0,0.0,0.0509250361078275,0.0677043559511038,0.0100631874561198,0.0648995686247055,0.0548363811685856,0.0548363811685856
2015,logistic_regression,0.0307,0.7238,0.0208,0.6977,0.0403,0.0,0.06,0.06,0.2421707381422103,0.444357309761247,0.0100631874561198,0.4544204972173668,0.444357309761247,0.444357309761247
2015,random_forest,0.0165,0.6259,0.0209,0.1163,0.0355,0.0,0.0,0.0,0.0477561388067952,0.0932173909854787,0.0100631874561198,0.0994774295186077,0.0894142420624879,0.0894142420624879
2020,hist_gradient_boosting,0.004,0.4798,0.0092,0.0769,0.0164,0.0,0.0,0.0,0.0165917368956545,0.0341596227258023,0.0019926425505824,0.0337552032000906,0.0317625606495082,0.0317625606495082
2020,logistic_regression,0.0069,0.6443,0.0041,0.4615,0.0081,0.0,0.0,0.02,0.2164843712214625,0.4378601981745285,0.0019926425505824,0.4398528407251109,0.4378601981745285,0.4378601981745285
2020,random_forest,0.0039,0.6411,0.0,0.0,0.0,0.0,0.0,0.0,0.0184313029286049,0.0462260869925475,0.0019926425505824,0.0479957522650118,0.0460031097144293,0.0460031097144293
