feature,coefficient,absolute_coefficient,direction
degree_a,0.5594904024639878,0.5594904024639878,positive
common_neighbour_count,0.415621857530437,0.415621857530437,positive
preferential_attachment,-0.280408840114588,0.280408840114588,negative
degree_b,0.2667210936763999,0.2667210936763999,positive
jaccard_coefficient,-0.23130224827212134,0.23130224827212134,negative
adamic_adar_score,0.21205662748537016,0.21205662748537016,positive
weighted_degree_b,0.16914109232096655,0.16914109232096655,positive
weighted_degree_a,-0.13594303409049874,0.13594303409049874,negative
