feature,importance_mean,importance_std
adamic_adar_score,0.002049259639493019,0.0002947833639740278
preferential_attachment,0.001257841683123436,0.0009982239098889154
weighted_degree_b,0.0005538813562231976,0.0009363874400182881
common_neighbour_count,0.0004411006624776498,0.00028458716379503644
degree_a,-0.00015127246896086036,0.0024432353232036325
jaccard_coefficient,-0.0011113669687650787,0.003270069319824635
degree_b,-0.0011256563473860534,0.0034999041031672532
weighted_degree_a,-0.0016476280773335683,0.0035718415712433175
