feature,coefficient,absolute_coefficient,direction
adamic_adar_score,0.42746280690649574,0.42746280690649574,positive
jaccard_coefficient,-0.4274558446637497,0.4274558446637497,negative
common_neighbour_count,0.3323093699535934,0.3323093699535934,positive
weighted_degree_b,0.14641917005193422,0.14641917005193422,positive
weighted_degree_a,0.11451943627965712,0.11451943627965712,positive
preferential_attachment,-0.09390942294838403,0.09390942294838403,negative
degree_a,-0.041858952138277665,0.041858952138277665,negative
degree_b,0.001104126021433143,0.001104126021433143,positive
