error_type,adamic_adar_score_mean,adamic_adar_score_median,common_neighbour_count_mean,common_neighbour_count_median,degree_a_mean,degree_a_median,degree_b_mean,degree_b_median,jaccard_coefficient_mean,jaccard_coefficient_median,preferential_attachment_mean,preferential_attachment_median,weighted_degree_a_mean,weighted_degree_a_median,weighted_degree_b_mean,weighted_degree_b_median
false_negative,0.7098780382169887,0.6135226426802476,1.7692307692307692,2.0,9.923076923076923,10.0,9.153846153846153,6.0,0.14190661507879893,0.1111111111111111,96.0,77.0,18.615384615384617,16.0,19.076923076923077,16.0
false_positive,0.6597576920511085,0.5581106265512472,1.3533333333333333,1.0,5.653333333333333,2.0,5.2,2.0,0.22464218119848842,0.25,43.63333333333333,6.0,11.506666666666666,2.0,8.273333333333333,2.0
true_negative,0.5134365065000001,0.40242960438184466,1.2639522087722057,1.0,8.433894041817325,6.0,6.6679767332180475,4.0,0.13432262157507807,0.1,55.14478855525861,30.0,16.931142902059424,8.0,10.922339254834146,6.0
