error_type,adamic_adar_score_mean,adamic_adar_score_median,common_neighbour_count_mean,common_neighbour_count_median,degree_a_mean,degree_a_median,degree_b_mean,degree_b_median,jaccard_coefficient_mean,jaccard_coefficient_median,preferential_attachment_mean,preferential_attachment_median,weighted_degree_a_mean,weighted_degree_a_median,weighted_degree_b_mean,weighted_degree_b_median
false_negative,0.4506738013537938,0.43429448190325176,1.0,1.0,3.923076923076923,4.0,5.153846153846154,4.0,0.13871406371406372,0.125,17.384615384615383,20.0,4.615384615384615,4.0,8.461538461538462,8.0
false_positive,0.7147785500172159,0.667614104308886,1.7166077738515901,2.0,11.130742049469964,9.0,8.798586572438163,8.0,0.12077452154031913,0.08,75.773851590106,60.0,24.53922261484099,16.0,15.990106007067137,14.0
true_negative,0.44617422586950367,0.40242960438184466,1.0348134991119005,1.0,5.42664298401421,4.0,4.194316163410302,4.0,0.17192363382165074,0.125,24.506927175843696,16.0,9.038365896980462,5.0,5.854706927175844,4.0
true_positive,0.9327141779744413,0.7805247649066118,2.2333333333333334,2.0,14.366666666666667,9.0,10.0,9.0,0.13141788037847946,0.11416709911779968,135.5,95.0,43.2,14.0,18.833333333333332,16.5
