error_type,adamic_adar_score_mean,adamic_adar_score_median,common_neighbour_count_mean,common_neighbour_count_median,degree_a_mean,degree_a_median,degree_b_mean,degree_b_median,jaccard_coefficient_mean,jaccard_coefficient_median,preferential_attachment_mean,preferential_attachment_median,weighted_degree_a_mean,weighted_degree_a_median,weighted_degree_b_mean,weighted_degree_b_median
false_negative,0.7406000038853704,0.6295964561836069,1.6842105263157894,2.0,10.105263157894736,7.5,8.605263157894736,6.0,0.13294867995544302,0.1111111111111111,92.73684210526316,35.0,27.63157894736842,10.0,15.973684210526315,12.5
false_positive,0.773424719328445,0.5581106265512472,1.8632478632478633,1.0,9.23076923076923,8.0,5.1068376068376065,2.0,0.19550144088495106,0.2,53.84188034188034,31.0,18.944444444444443,14.0,8.11965811965812,2.0
true_negative,0.5221248022457851,0.43429448190325176,1.2277277277277276,1.0,7.223723723723723,5.0,5.771271271271272,4.0,0.15243084084595093,0.1111111111111111,40.94294294294294,24.0,13.947197197197196,6.0,9.31106106106106,6.0
true_positive,1.1394769218376972,0.9086517694592305,3.2,3.0,19.6,17.0,8.0,9.0,0.1387538802660754,0.15,153.4,102.0,61.2,32.0,13.6,18.0
