error_type,adamic_adar_score_mean,adamic_adar_score_median,common_neighbour_count_mean,common_neighbour_count_median,degree_a_mean,degree_a_median,degree_b_mean,degree_b_median,jaccard_coefficient_mean,jaccard_coefficient_median,preferential_attachment_mean,preferential_attachment_median,weighted_degree_a_mean,weighted_degree_a_median,weighted_degree_b_mean,weighted_degree_b_median
false_negative,0.664441166343143,0.5858166346157474,1.6666666666666667,1.5,9.5,9.5,7.75,6.0,0.14715321896694444,0.1111111111111111,71.5,73.5,18.333333333333332,16.0,14.0,14.0
false_positive,0.654626780479049,0.5581106265512472,1.3703703703703705,1.0,6.888888888888889,3.0,5.7407407407407405,2.0,0.17749912136126308,0.14285714285714285,49.0462962962963,16.0,17.425925925925927,4.0,8.61111111111111,2.0
true_negative,0.5144828329474356,0.40242960438184466,1.264251132281743,1.0,8.394814930501328,6.0,6.649226924878963,4.0,0.13571023237729635,0.1,54.97797907230986,30.0,16.795720755895672,8.0,10.899265969076994,6.0
true_positive,1.2551205007031374,1.2551205007031374,3.0,3.0,15.0,15.0,26.0,26.0,0.07894736842105263,0.07894736842105263,390.0,390.0,22.0,22.0,80.0,80.0
