error_type,adamic_adar_score_mean,adamic_adar_score_median,common_neighbour_count_mean,common_neighbour_count_median,degree_a_mean,degree_a_median,degree_b_mean,degree_b_median,jaccard_coefficient_mean,jaccard_coefficient_median,preferential_attachment_mean,preferential_attachment_median,weighted_degree_a_mean,weighted_degree_a_median,weighted_degree_b_mean,weighted_degree_b_median
false_negative,0.699422321787598,0.6295964561836069,1.631578947368421,2.0,8.763157894736842,7.0,8.473684210526315,6.0,0.1374961437487959,0.125,77.42105263157895,35.0,20.31578947368421,10.0,15.552631578947368,12.5
false_positive,0.7598682590819043,0.5581106265512472,1.776,1.0,9.456,8.0,5.888,4.0,0.17958250446140978,0.16666666666666666,57.336,44.5,19.78,14.0,9.304,4.0
true_negative,0.5219660877704867,0.43429448190325176,1.2306532663316583,1.0,7.2015075376884425,5.0,5.724874371859296,4.0,0.15325762589752412,0.1111111111111111,40.67160804020101,24.0,13.87462311557789,6.0,9.24145728643216,6.0
true_positive,1.4524273057807673,1.7281137652653216,3.6,5.0,29.8,36.0,9.0,10.0,0.10419315543659355,0.10638297872340426,269.8,221.0,116.8,158.0,16.8,18.0
