cutoff_year,candidate_count,positive_count,negative_count,positive_rate,single_future_co_publication_count,single_future_co_publication_share,future_co_publication_median_positive,future_co_publication_mean_positive,future_co_publication_min_positive,future_co_publication_max_positive,positive_pairs_future_count_ge_2,positive_pairs_future_count_ge_3,positive_pairs_future_count_ge_5,unique_candidate_topics,self_pair_count,duplicate_pair_count,graph_node_count,graph_edge_count,candidates_per_graph_node,candidates_per_graph_edge,candidate_count_change,positive_count_change,positive_rate_change
2010,2193,64,2129,0.02918376652986776,54,0.84375,1.0,1.28125,1.0,7.0,10,3,1,414,0,0,550,871,3.9872727272727273,2.5177956371986223,,,
2015,4273,43,4230,0.010063187456119822,40,0.9302325581395349,1.0,1.069767441860465,1.0,2.0,3,0,0,588,0,0,733,1309,5.829467939972715,3.2643239113827347,2080.0,-21.0,-0.019120579073747937
2020,6524,13,6511,0.001992642550582465,12,0.9230769230769231,1.0,1.0769230769230769,1.0,2.0,1,0,0,730,0,0,884,1692,7.380090497737557,3.855791962174941,2251.0,-30.0,-0.008070544905537358
